Region,Date,Median Sale Price,Homes Sold,New Listings,Inventory,Inventory MoM ,Days on Market,Days on Market MoM,Days on Market YoY
"Auburn, WA",1/31/2012,$188K,81,118,447,-8.80%,107,38,10
"Auburn, WA",2/29/2012,$206K,102,161,461,3.10%,97,-10,17
"Auburn, WA",3/31/2012,$197K,97,149,439,-4.80%,88,-9,-9
"Auburn, WA",4/30/2012,$209K,127,168,443,0.90%,73,-15,-26
"Auburn, WA",5/31/2012,$225K,109,147,415,-6.30%,58,-15,-20
"Auburn, WA",6/30/2012,$220K,123,154,428,3.10%,50,-8,-28
"Auburn, WA",7/31/2012,$212K,132,167,439,2.60%,60,10,1
"Auburn, WA",8/31/2012,$220K,108,127,419,-4.60%,53,-7,-12
"Auburn, WA",9/30/2012,$230K,129,115,377,-10.00%,62,9,-23
"Auburn, WA",10/31/2012,$245K,110,103,354,-6.10%,45,-17,-34
"Auburn, WA",11/30/2012,$238K,114,112,341,-3.70%,50,5,-44
"Auburn, WA",12/31/2012,$247K,111,119,328,-3.80%,52,2,-17
"Auburn, WA",1/31/2013,$241K,102,148,313,-4.60%,78,26,-29
"Auburn, WA",2/28/2013,$240K,143,176,300,-4.20%,57,-21,-40
"Auburn, WA",3/31/2013,$248K,118,196,318,6.00%,41,-16,-47
"Auburn, WA",4/30/2013,$260K,150,189,317,-0.30%,24,-17,-49
"Auburn, WA",5/31/2013,$250K,156,191,362,14.20%,33,9,-25
"Auburn, WA",6/30/2013,$250K,170,181,394,8.80%,23,-10,-27
"Auburn, WA",7/31/2013,$255K,158,157,403,2.30%,19,-4,-41
"Auburn, WA",8/31/2013,$262K,143,176,428,6.20%,28,9,-25
"Auburn, WA",9/30/2013,$257K,137,158,428,0.00%,35,7,-27
"Auburn, WA",10/31/2013,$273K,133,124,410,-4.20%,49,14,4
"Auburn, WA",11/30/2013,$289K,144,83,368,-10.20%,52,3,2
"Auburn, WA",12/31/2013,$255K,85,131,356,-3.30%,46,-6,-6
"Auburn, WA",1/31/2014,$259K,100,129,368,3.40%,67,21,-11
"Auburn, WA",2/28/2014,$270K,126,172,364,-1.10%,46,-21,-11
"Auburn, WA",3/31/2014,$274K,155,177,368,1.10%,31,-15,-10
"Auburn, WA",4/30/2014,$267K,152,205,370,0.50%,35,4,11
"Auburn, WA",5/31/2014,$280K,175,173,380,2.70%,29,-6,-4
"Auburn, WA",6/30/2014,$275K,170,194,427,12.40%,24,-5,1
"Auburn, WA",7/31/2014,$267K,144,177,458,7.30%,29,5,10
"Auburn, WA",8/31/2014,$281K,109,137,441,-3.70%,36,7,8
"Auburn, WA",9/30/2014,$272K,130,126,404,-8.40%,44,8,9
"Auburn, WA",10/31/2014,$270K,120,102,377,-6.70%,50,6,1
"Auburn, WA",11/30/2014,$282K,154,101,347,-8.00%,49,-1,-3
"Auburn, WA",12/31/2014,$290K,85,123,321,-7.50%,49,0,3
"Auburn, WA",1/31/2015,$275K,94,139,303,-5.60%,53,4,-14
"Auburn, WA",2/28/2015,$279K,146,193,317,4.60%,50,-3,4
"Auburn, WA",3/31/2015,$300K,141,217,322,1.60%,26,-24,-5
"Auburn, WA",4/30/2015,$289K,174,215,349,8.40%,19,-7,-16
"Auburn, WA",5/31/2015,$316K,176,191,330,-5.40%,17,-2,-12
"Auburn, WA",6/30/2015,$325K,211,201,348,5.50%,21,4,-3
"Auburn, WA",7/31/2015,$306K,170,158,349,0.30%,24,3,-5
"Auburn, WA",8/31/2015,$302K,155,152,336,-3.70%,25,1,-11
"Auburn, WA",9/30/2015,$307K,148,129,310,-7.70%,23,-2,-21
"Auburn, WA",10/31/2015,$300K,105,86,271,-12.60%,24,1,-26
"Auburn, WA",11/30/2015,$320K,139,79,230,-15.10%,33,9,-16
"Auburn, WA",12/31/2015,$304K,92,119,220,-4.30%,50,17,1
"Auburn, WA",1/31/2016,$319K,101,164,216,-1.80%,35,-15,-18
"Auburn, WA",2/29/2016,$306K,155,192,198,-8.30%,15,-20,-35
"Auburn, WA",3/31/2016,$313K,185,265,239,20.70%,11,-4,-15
"Auburn, WA",4/30/2016,$350K,194,243,240,0.40%,8,-3,-11
"Auburn, WA",5/31/2016,$336K,215,254,303,26.30%,9,1,-8
"Auburn, WA",6/30/2016,$338K,192,232,315,4.00%,13,4,-8
"Auburn, WA",7/31/2016,$330K,193,214,342,8.60%,19,6,-5
"Auburn, WA",8/31/2016,$332K,185,191,341,-0.30%,17,-2,-8
