,Status,ZipCode,City,Price,Days_on_market,Beds,Baths,Sqft,Date,Acres,Lot_sqft,Liv_index
0,A,98001,Auburn,725000,4.0,3.0,0.0,3060,2021-05-26,0.227,9894.0,68.0
1,A,98001,Auburn,300000,4.0,2.0,1.0,920,2021-05-26,0.164,7150.0,68.0
2,S,98001,Auburn,555000,3.0,2.0,1.0,1196,2021-05-07,0.544,23689.0,68.0
3,A,98001,Auburn,1300000,220.0,4.0,1.75,2850,2020-10-22,6.0,261360.0,68.0
4,S,98001,Auburn,250000,46.0,2.0,1.5,1200,2021-05-20,0.22,9600.0,68.0
5,A,98001,Auburn,424950,3.0,3.0,2.0,1620,2021-05-28,0.147,6401.0,68.0
6,A,98001,Auburn,450000,10.0,3.0,2.0,1080,2021-05-26,0.605,26346.0,68.0
7,S,98001,Auburn,427000,4.0,3.0,1.25,970,2021-05-24,0.179,7800.0,68.0
8,S,98001,Auburn,460000,5.0,3.0,1.75,1480,2021-05-21,0.22,9600.0,68.0
9,S,98001,Auburn,560500,4.0,3.0,1.75,1540,2021-05-04,0.2,8700.0,68.0
10,S,98001,Auburn,585000,5.0,3.0,1.75,1840,2021-05-25,0.386,16794.0,68.0
11,S,98001,Auburn,600000,2.0,3.0,1.5,1800,2021-05-21,1.735,75573.0,68.0
12,S,98001,Auburn,641000,3.0,3.0,2.0,1820,2021-05-04,0.418,18200.0,68.0
13,A,98001,Auburn,559999,64.0,3.0,2.25,2440,2021-05-18,0.441,19200.0,68.0
14,S,98001,Auburn,665000,5.0,3.0,2.25,2145,2021-05-28,0.34,14792.0,68.0
15,S,98001,Auburn,715000,10.0,3.0,2.5,2450,2021-05-09,0.196,8522.0,68.0
16,S,98001,Auburn,900000,4.0,3.0,2.5,2420,2021-05-19,2.045,89087.0,68.0
17,A,98001,Auburn,485000,3.0,4.0,2.75,1780,2021-05-27,0.167,7260.0,68.0
18,A,98001,Auburn,599900,3.0,4.0,2.25,2090,2021-05-27,0.179,7812.0,68.0
19,A,98001,Auburn,849000,2.0,4.0,2.5,3193,2021-05-28,0.146,6351.0,68.0
20,A,98001,Auburn,880000,55.0,4.0,2.5,3341,2021-04-05,0.146,6366.0,68.0
21,A,98001,Auburn,899999,2.0,4.0,2.75,2960,2021-05-28,0.612,26658.0,68.0
22,S,98001,Auburn,575000,5.0,4.0,2.5,1500,2021-05-05,0.188,8175.0,68.0
23,S,98001,Auburn,585000,24.0,4.0,2.5,2042,2021-05-25,0.123,5366.0,68.0
24,S,98001,Auburn,610000,4.0,4.0,2.5,2303,2021-05-28,0.106,4613.0,68.0
25,S,98001,Federal Way,625000,5.0,4.0,2.75,2652,2021-05-13,0.093,4037.0,63.0
26,S,98001,Auburn,630000,36.0,4.0,2.5,2400,2021-05-07,0.11,4800.0,68.0
27,S,98001,Auburn,650000,4.0,4.0,2.5,1826,2021-05-07,0.115,5003.0,68.0
