#,MLS,Stat,Type,Address,ZipCode,City,City Code,State,List/Sell,Days on Market,Bds,Bths,SF,Start Date,Acres,Source,Lot Square Footage,Property Type,SchoolDistric,Livability Index,#,,,,Town,Livability Index
1,1781634,A,RESI,28022 39th Ave S,98001,Auburn,100,WA,"725,000",4,3,0,3060,05/26/2021  ,0.227,king County,9894,Single Family,Federal Way,0,1,,,1,Sammamish,86
2,1780235,A,RESI,35832 Military Rd S,98001,Auburn,100,WA,"300,000",4,2,1,920,05/26/2021  ,0.164,Public Records,7150,Single Family,Federal Way,0,2,,,2,Medina,85
3,1753425,S,RESI,36655 45th Ave S,98001,Auburn,100,WA,"555,000",3,2,1,1196,05/07/2021  ,0.544,"Public Records, County",23689,Single Family,Federal Way,0,3,,,3,Yarrow Point,85
4,1680653,A,RESI,28110 48th Ave S,98001,Auburn,100,WA,"1,300,000",220,4,1.75,2850,10/22/2020  ,6,Realist,261360,Single Family,Auburn,0,4,,,4,Mill Creek,85
5,1632834,S,RESI,37115 39th Ave S,98001,Auburn,100,WA,"250,000",46,2,1.5,1200,05/20/2021  ,0.22,County Record,9600,Single Family,Federal Way,0,5,,,5,Mercer Island,85
6,1782260,A,RESI,405 Clay St,98001,Auburn,100,WA,"424,950",3,3,2,1620,05/28/2021  ,0.147,Realist- Buyer to Verify,6401,Single Family,Auburn,0,6,,,6,Brier,85
7,1774992,A,RESI,28807 55th Ave S,98001,Auburn,100,WA,"450,000",10,3,2,1080,05/26/2021  ,0.605,Public records,26346,Single Family,Federal Way,0,7,,,7,Redmond,85
8,1761413,S,RESI,29600 45th Ave S,98001,Auburn,100,WA,"427,000",4,3,1.25,970,05/24/2021  ,0.179,County Records,7800,Single Family,Federal Way,0,8,,,8,Duvall,84
9,1753758,S,RESI,38055 43rd Ave S,98001,Auburn,100,WA,"460,000",5,3,1.75,1480,05/21/2021  ,0.22,Public Records,9600,Single Family,Fife,0,9,,,9,Bainbridge ,84
10,1750525,S,RESI,4504 S 282nd St,98001,Auburn,100,WA,"560,500",4,3,1.75,1540,05/04/2021  ,0.2,Realist,8700,Single Family,Federal Way,0,10,,,10,Woodinville,83
11,1755148,S,RESI,4825 S 313th St,98001,Auburn,100,WA,"585,000",5,3,1.75,1840,05/25/2021  ,0.386,County,16794,Single Family,Federal Way,0,11,,,11,Bellevue,83
12,1761230,S,RESI,3235 S 358th St,98001,Auburn,100,WA,"600,000",2,3,1.5,1800,05/21/2021  ,1.735,Realist,75573,Single Family,Federal Way,0,12,,,12,Clyde Hill,83
13,1750063,S,RESI,5629 S 305th St,98001,Auburn,100,WA,"641,000",3,3,2,1820,05/04/2021  ,0.418,KCR,18200,Single Family,Auburn,0,13,,,13,Lake Forest Park,82
14,1732939,A,RESI,34524 54th Ave S,98001,Auburn,100,WA,"559,999",64,3,2.25,2440,05/18/2021  ,0.441,First American Title,19200,Single Family,Federal Way,0,14,,,14,Bothell East,82
15,1760835,S,RESI,526 Aaby Dr,98001,Auburn,100,WA,"665,000",5,3,2.25,2145,05/28/2021  ,0.34,KCR,14792,Single Family,Auburn,0,15,,,15,Newcastle,82
