,Status,ZipCode,City,Price,Days_on_market,Beds,Baths,Sqft,Date,Acres,Lot_sqft,Liv_index
0,A,98001,Auburn,725000,4,3,0,3060,5/26/2021,0.227,9894,68
1,A,98001,Auburn,300000,4,2,1,920,5/26/2021,0.164,7150,68
2,S,98001,Auburn,555000,3,2,1,1196,5/7/2021,0.544,23689,68
3,A,98001,Auburn,1300000,220,4,1.75,2850,10/22/2020,6,261360,68
4,S,98001,Auburn,250000,46,2,1.5,1200,5/20/2021,0.22,9600,68
5,A,98001,Auburn,424950,3,3,2,1620,5/28/2021,0.147,6401,68
6,A,98001,Auburn,450000,10,3,2,1080,5/26/2021,0.605,26346,68
7,S,98001,Auburn,427000,4,3,1.25,970,5/24/2021,0.179,7800,68
8,S,98001,Auburn,460000,5,3,1.75,1480,5/21/2021,0.22,9600,68
9,S,98001,Auburn,560500,4,3,1.75,1540,5/4/2021,0.2,8700,68
10,S,98001,Auburn,585000,5,3,1.75,1840,5/25/2021,0.386,16794,68
11,S,98001,Auburn,600000,2,3,1.5,1800,5/21/2021,1.735,75573,68
12,S,98001,Auburn,641000,3,3,2,1820,5/4/2021,0.418,18200,68
13,A,98001,Auburn,559999,64,3,2.25,2440,5/18/2021,0.441,19200,68
14,S,98001,Auburn,665000,5,3,2.25,2145,5/28/2021,0.34,14792,68
15,S,98001,Auburn,715000,10,3,2.5,2450,5/9/2021,0.196,8522,68
16,S,98001,Auburn,900000,4,3,2.5,2420,5/19/2021,2.045,89087,68
17,A,98001,Auburn,485000,3,4,2.75,1780,5/27/2021,0.167,7260,68
18,A,98001,Auburn,599900,3,4,2.25,2090,5/27/2021,0.179,7812,68
19,A,98001,Auburn,849000,2,4,2.5,3193,5/28/2021,0.146,6351,68
20,A,98001,Auburn,880000,55,4,2.5,3341,4/5/2021,0.146,6366,68
21,A,98001,Auburn,899999,2,4,2.75,2960,5/28/2021,0.612,26658,68
22,S,98001,Auburn,575000,5,4,2.5,1500,5/5/2021,0.188,8175,68
23,S,98001,Auburn,585000,24,4,2.5,2042,5/25/2021,0.123,5366,68
24,S,98001,Auburn,610000,4,4,2.5,2303,5/28/2021,0.106,4613,68
25,S,98001,Federal Way,625000,5,4,2.75,2652,5/13/2021,0.093,4037,63
26,S,98001,Auburn,630000,36,4,2.5,2400,5/7/2021,0.11,4800,68
27,S,98001,Auburn,650000,4,4,2.5,1826,5/7/2021,0.115,5003,68
28,S,98001,Auburn,651038,9,4,2.25,2472,5/27/2021,0.103,4500,68
29,S,98001,Auburn,660000,5,4,2.75,2671,4/30/2021,0.141,6132,68
30,S,98001,Auburn,680000,4,4,2.5,2796,4/30/2021,0.132,5750,68
31,S,98001,Auburn,742000,5,4,2.5,3090,5/5/2021,0.221,9647,68
32,S,98001,Auburn,780000,5,4,2.75,2750,5/4/2021,0.178,7758,68
33,S,98001,Auburn,795000,6,4,2.5,3262,5/5/2021,0.244,10614,68
34,S,98001,Auburn,807000,1,4,2.75,2650,5/23/2021,0.208,9050,68
35,S,98001,Federal Way,650000,5,5,3,2336,5/13/2021,0.189,8214,63
36,S,98001,Auburn,805000,5,5,2.75,3108,5/27/2021,0.152,6624,68
38,A,98001,Auburn,782940,8,4,3,3024,5/22/2021,0.121,5250,68
39,A,98001,Auburn,1150000,10,4,3.5,2832,5/20/2021,0.223,9710,68
40,S,98001,Auburn,700000,8,4,3.25,2527,5/25/2021,0.138,6030,68
41,S,98001,Auburn,739172,0,4,3.25,3024,5/18/2021,0.135,5895,68
42,A,98001,Auburn,1000000,11,5,4,3109,5/19/2021,0.681,29674,68
43,A,98001,Auburn,975000,2,4,4,4620,5/28/2021,0.85,37026,68
44,S,98001,Auburn,650949,0,5,4.25,3024,5/11/2021,0.118,5130,68
45,A,98001,Auburn,2450000,40,6,5,8900,4/20/2021,6.09,265280,68
46,A,98001,Federal Way,499000,4,3,2.5,1580,5/26/2021,0.108,4716,63
47,S,98001,Algona,280000,12,2,0.75,820,4/30/2021,0.344,15000,68
48,S,98001,Algona,400000,3,3,1,1010,5/11/2021,0.367,16000,68
49,S,98001,Algona,440000,5,2,2,1430,5/11/2021,0.23,10000,68
50,A,98001,Auburn,424950,3,3,2,1620,5/27/2021,0.147,6401,68
51,S,98001,Algona,360000,8,3,2,1632,5/7/2021,0.138,6030,68
52,S,98001,Algona,374000,5,3,2,1120,5/29/2021,0.184,8000,68
53,S,98001,Algona,501290,5,3,2,1466,5/2/2021,0.297,12956,68
54,S,98001,Auburn,537000,4,3,2,1410,5/17/2021,0.177,7700,68
55,S,98001,Auburn,475000,5,4,1.75,1450,5/28/2021,0.166,7245,68
56,S,98001,Auburn,496000,3,4,1.5,1250,5/24/2021,0.171,7455,68
57,S,98001,Algona,520000,5,3,2.5,1670,5/20/2021,0.237,10330,68
58,A,98001,Algona,529950,7,4,3,1965,5/28/2021,0.103,4500,68
59,S,98002,Auburn,520000,223,0,0,2020,5/20/2021,0.248,10815,68
60,S,98002,Auburn,300000,3,2,1,620,5/21/2021,0.11,4807,68
61,S,98002,Auburn,375000,6,2,1,1020,5/24/2021,0.202,8791,68
62,S,98002,Auburn,375000,5,2,1,900,4/30/2021,0.116,5041,68
63,S,98002,Auburn,420000,6,2,1,1320,5/17/2021,0.13,5679,68
64,S,98002,Auburn,425000,9,3,1,900,4/30/2021,0.142,6172,68
65,A,98002,Auburn,325000,8,4,1,1420,5/22/2021,0.139,6039,68
66,A,98002,Auburn,365000,4,4,1,1880,5/26/2021,0.151,6589,68
67,S,98002,Auburn,430000,14,3,2,1400,5/5/2021,0.56,24378,68
68,A,98002,Auburn,495000,54,2,2,2424,4/6/2021,0.173,7546,68
69,A,98002,Auburn,399950,10,3,2,850,5/20/2021,0.039,1679,68
70,A,98002,Auburn,474500,2,3,2,1430,5/28/2021,0.152,6607,68
71,S,98002,Auburn,390000,6,3,2,1456,5/8/2021,0.18,7828,68
72,S,98002,Auburn,410000,6,3,1.5,1280,5/28/2021,0.084,3640,68
73,S,98002,Auburn,440000,5,3,2,1188,5/5/2021,0.16,6984,68
75,S,98002,Auburn,485000,3,3,1.75,1430,4/30/2021,0.695,30273,68
76,S,98002,Auburn,500000,6,3,1.5,2160,5/17/2021,0.22,9583,68
77,S,98002,Auburn,510000,5,3,1.75,1110,5/21/2021,0.138,6000,68
78,A,98002,Auburn,497000,9,4,2,2332,5/21/2021,0.196,8550,68
79,S,98002,Auburn,450000,4,4,2,1812,5/10/2021,0.163,7080,68
80,S,98002,Auburn,450000,12,4,1.75,1350,5/7/2021,0.194,8459,68
81,S,98002,Auburn,470000,5,4,2,1470,5/3/2021,0.203,8853,68
82,S,98002,Auburn,493000,4,4,2,1952,5/25/2021,0.289,12600,68
83,S,98002,Auburn,552500,6,4,1.75,2290,5/17/2021,0.132,5750,68
84,A,98002,Auburn,475000,3,3,2.5,1500,5/27/2021,0.223,9696,68
85,S,98002,Auburn,565000,6,3,2.5,2120,4/30/2021,0.119,5173,68
86,S,98002,Auburn,580000,4,4,2.75,2117,5/21/2021,0.085,3703,68
87,S,98002,Auburn,690000,1,5,2.75,3510,5/28/2021,0.215,9360,68
88,A,98002,Auburn,649900,3,3,3.25,2280,5/27/2021,0.328,14291,68
89,S,98003,Federal Way,416000,4,3,1.5,940,4/30/2021,0.181,7884,63
90,S,98003,Federal Way,507000,6,3,1.5,1090,5/21/2021,0.335,14608,63
91,S,98003,Federal Way,550000,4,3,2,1300,5/19/2021,0.218,9475,63
92,A,98003,Federal Way,780000,65,5,1.75,1910,3/26/2021,2.12,92347,63
93,A,98003,Federal Way,569000,4,3,2.75,2360,5/26/2021,0.254,11058,63
94,S,98003,Federal Way,450000,0,3,2.5,1670,5/27/2021,0.138,6031,63
95,S,98003,Federal Way,455000,6,3,2.5,1740,5/1/2021,0.182,7920,63
96,S,98003,Federal Way,650000,2,4,2.5,2370,5/13/2021,0.095,4120,63
97,A,98003,Federal Way,656000,22,0,0,1480,5/8/2021,0.66,28749,63
98,A,98003,Federal Way,195000,6,0,0.5,1000,5/24/2021,0.023,1000,63
99,A,98003,Federal Way,1200000,47,2,1,1150,4/13/2021,0.947,41233,63
100,A,98033,Kirkland,2087000,23,5,3.5,3348,5/7/2021,0.093,4070,81
101,S,98033,Kirkland,1500000,198,5,3.5,4745,5/24/2021,0.19,8283,81
102,S,98033,Kirkland,1750000,6,5,3.5,3160,5/3/2021,0.215,9351,81
103,S,98033,Kirkland,2269252,0,5,4,4865,5/20/2021,0.302,13159,81
104,S,98033,Kirkland,2464500,2,5,3.5,3397,5/27/2021,0.172,7479,81
105,A,98033,Kirkland,3988000,53,4,4,4820,5/13/2021,0.248,10800,81
106,A,98033,Kirkland,4900000,2,4,4,7160,5/28/2021,0.933,40650,81
107,A,98033,Kirkland,6495000,219,4,3.75,4480,1/5/2021,0.469,20424,81
108,S,98033,Kirkland,2700000,15,4,4.25,3693,5/17/2021,0.092,4001,81
109,S,98033,Kirkland,3120000,4,4,4,4480,5/3/2021,0.598,26028,81
110,S,98003,Federal Way,285000,156,2,1,924,4/30/2021,0.316,13750,63
111,S,98033,Kirkland,4980000,7,4,4.25,5650,5/14/2021,0.275,12000,81
