,ZipCode,Price,Beds,Baths,Sqft,Lot_sqft,Liv_index
0,98001,725000,3.0,0.0,3060,9894.0,68
1,98001,300000,2.0,1.0,920,7150.0,68
2,98001,555000,2.0,1.0,1196,23689.0,68
3,98001,1300000,4.0,1.75,2850,261360.0,68
4,98001,250000,2.0,1.5,1200,9600.0,68
5,98001,424950,3.0,2.0,1620,6401.0,68
6,98001,450000,3.0,2.0,1080,26346.0,68
7,98001,427000,3.0,1.25,970,7800.0,68
8,98001,460000,3.0,1.75,1480,9600.0,68
9,98001,560500,3.0,1.75,1540,8700.0,68
10,98001,585000,3.0,1.75,1840,16794.0,68
11,98001,600000,3.0,1.5,1800,75573.0,68
12,98001,641000,3.0,2.0,1820,18200.0,68
13,98001,559999,3.0,2.25,2440,19200.0,68
14,98001,665000,3.0,2.25,2145,14792.0,68
15,98001,715000,3.0,2.5,2450,8522.0,68
16,98001,900000,3.0,2.5,2420,89087.0,68
17,98001,485000,4.0,2.75,1780,7260.0,68
18,98001,599900,4.0,2.25,2090,7812.0,68
19,98001,849000,4.0,2.5,3193,6351.0,68
20,98001,880000,4.0,2.5,3341,6366.0,68
21,98001,899999,4.0,2.75,2960,26658.0,68
22,98001,575000,4.0,2.5,1500,8175.0,68
23,98001,585000,4.0,2.5,2042,5366.0,68
24,98001,610000,4.0,2.5,2303,4613.0,68
25,98001,625000,4.0,2.75,2652,4037.0,63
26,98001,630000,4.0,2.5,2400,4800.0,68
27,98001,650000,4.0,2.5,1826,5003.0,68
28,98001,651038,4.0,2.25,2472,4500.0,68
29,98001,660000,4.0,2.75,2671,6132.0,68
30,98001,680000,4.0,2.5,2796,5750.0,68
31,98001,742000,4.0,2.5,3090,9647.0,68
32,98001,780000,4.0,2.75,2750,7758.0,68
33,98001,795000,4.0,2.5,3262,10614.0,68
34,98001,807000,4.0,2.75,2650,9050.0,68
35,98001,650000,5.0,3.0,2336,8214.0,63
36,98001,805000,5.0,2.75,3108,6624.0,68
37,98001,782940,4.0,3.0,3024,5250.0,68
38,98001,1150000,4.0,3.5,2832,9710.0,68
39,98001,700000,4.0,3.25,2527,6030.0,68
40,98001,739172,4.0,3.25,3024,5895.0,68
41,98001,1000000,5.0,4.0,3109,29674.0,68
42,98001,975000,4.0,4.0,4620,37026.0,68
43,98001,650949,5.0,4.25,3024,5130.0,68
44,98001,2450000,6.0,5.0,8900,265280.0,68
45,98001,499000,3.0,2.5,1580,4716.0,63
46,98001,280000,2.0,0.75,820,15000.0,68
47,98001,400000,3.0,1.0,1010,16000.0,68
48,98001,440000,2.0,2.0,1430,10000.0,68
49,98001,424950,3.0,2.0,1620,6401.0,68
50,98001,360000,3.0,2.0,1632,6030.0,68
51,98001,374000,3.0,2.0,1120,8000.0,68
52,98001,501290,3.0,2.0,1466,12956.0,68
53,98001,537000,3.0,2.0,1410,7700.0,68
54,98001,475000,4.0,1.75,1450,7245.0,68
55,98001,496000,4.0,1.5,1250,7455.0,68
56,98001,520000,3.0,2.5,1670,10330.0,68
57,98001,529950,4.0,3.0,1965,4500.0,68
58,98002,520000,0.0,0.0,2020,10815.0,68
59,98002,300000,2.0,1.0,620,4807.0,68
60,98002,375000,2.0,1.0,1020,8791.0,68
61,98002,375000,2.0,1.0,900,5041.0,68
62,98002,420000,2.0,1.0,1320,5679.0,68
63,98002,425000,3.0,1.0,900,6172.0,68
64,98002,325000,4.0,1.0,1420,6039.0,68
65,98002,365000,4.0,1.0,1880,6589.0,68
66,98002,430000,3.0,2.0,1400,24378.0,68
67,98002,495000,2.0,2.0,2424,7546.0,68
68,98002,399950,3.0,2.0,850,1679.0,68
69,98002,474500,3.0,2.0,1430,6607.0,68
70,98002,390000,3.0,2.0,1456,7828.0,68
71,98002,410000,3.0,1.5,1280,3640.0,68
72,98002,440000,3.0,2.0,1188,6984.0,68
73,98002,485000,3.0,1.75,1430,30273.0,68
74,98002,500000,3.0,1.5,2160,9583.0,68
75,98002,510000,3.0,1.75,1110,6000.0,68
76,98002,497000,4.0,2.0,2332,8550.0,68
77,98002,450000,4.0,2.0,1812,7080.0,68
78,98002,450000,4.0,1.75,1350,8459.0,68
79,98002,470000,4.0,2.0,1470,8853.0,68
80,98002,493000,4.0,2.0,1952,12600.0,68
